Branch,Component,Gender,abdominalextensiondepthsitting,acromialheight,acromionradialelength,anklecircumference,thumbtipreach,tibialheight,tragiontopofhead,trochanterionheight,verticaltrunkcircumferenceusa,waistbacklength,waistbreadth,waistcircumference,waistdepth,waistfrontlengthsitting,waistheightomphalion,wristcircumference,wristheight,weight_kg,stature_m,BMI,BMI_class,Height_class,
487,Combat Support,Army Reserve,Female,226,1434,317,168,785,459,140,901,1650,440,308,820,197,362,1050,172,857,68.9,1.723,23.20858522,Normal,Tall
488,Combat Support,Regular Army,Female,221,1284,289,168,727,415,127,823,1485,401,275,813,206,336,940,149,773,58.7,1.578,23.57350194,Normal,Normal
489,Combat Support,Regular Army,Female,224,1377,328,181,784,449,131,893,1611,439,291,845,221,355,1010,149,813,74.2,1.671,26.57363745,Overweight,Normal
490,Combat Support,Regular Army,Female,262,1308,300,178,736,426,126,841,1626,455,331,1011,259,352,940,154,760,82,1.58,32.84730011,Overweight,Normal
491,Combat Support,Regular Army,Female,190,1303,300,145,734,417,121,802,1522,430,279,758,181,362,963,147,782,55.7,1.584,22.19958423,Normal,Normal
492,Combat Support,Army National Guard,Female,217,1381,327,157,748,446,124,850,1570,430,280,814,208,397,994,163,845,64.8,1.67,23.23496719,Normal,Normal
493,Combat Support,Army Reserve,Female,201,1300,300,169,765,430,125,836,1450,397,272,770,189,330,966,150,775,56.6,1.585,22.52982914,Normal,Normal
494,Combat Service Support,Army Reserve,Female,203,1325,299,158,728,427,116,795,1525,451,281,809,186,380,955,159,788,58.4,1.638,21.76632213,Normal,Normal
495,Combat Support,Army Reserve,Female,219,1280,312,159,790,432,123,901,1515,430,280,817,216,341,965,140,720,59.9,1.589,23.72351452,Normal,Normal
496,Combat Support,Regular Army,Female,252,1379,326,170,777,437,140,831,1699,447,325,938,243,380,980,160,828,78.5,1.659,28.52179701,Overweight,Normal
497,Combat Service Support,Regular Army,Female,236,1278,288,174,747,406,134,821,1490,420,272,845,223,315,942,160,787,65.4,1.55,27.22164412,Overweight,Normal
498,Combat Support,Regular Army,Female,282,1434,328,180,772,455,127,914,1670,489,322,995,260,412,1033,158,845,83.8,1.73,27.99959905,Overweight,Tall
499,Combat Service Support,Regular Army,Female,240,1249,292,163,714,387,130,789,1560,392,290,907,232,364,899,143,753,64.4,1.5,28.62222222,Overweight,Small
500,Combat Support,Regular Army,Female,273,1325,322,178,796,432,126,865,1573,454,306,983,270,381,977,163,763,80.9,1.615,31.0172627,Overweight,Normal
501,Combat Service Support,Regular Army,Female,230,1329,296,170,773,433,136,847,1636,400,276,801,205,330,1007,160,806,67.7,1.645,25.01824632,Overweight,Normal
502,Combat Service Support,Regular Army,Female,256,1440,325,183,818,487,125,920,1676,497,343,1029,251,403,1026,172,865,84.7,1.727,28.398718,Overweight,Tall
503,Combat Support,Regular Army,Female,274,1350,347,187,813,465,133,882,1646,480,346,1052,293,378,1004,155,744,78.1,1.667,28.10475697,Overweight,Normal
504,Combat Service Support,Regular Army,Female,214,1244,282,154,737,385,131,762,1487,441,292,848,198,361,862,145,745,55.2,1.519,23.92343461,Normal,Small
505,Combat Service Support,Army National Guard,Female,284,1417,330,175,789,460,132,888,1662,480,315,955,258,416,1030,161,842,83.2,1.7,28.78892734,Overweight,Tall
506,Combat Service Support,Regular Army,Female,234,1314,285,162,736,410,123,821,1603,427,284,807,217,369,986,158,783,69.4,1.628,26.18488491,Overweight,Normal
507,Combat Service Support,Regular Army,Female,221,1328,312,179,726,425,123,809,1624,452,303,855,226,370,960,157,777,78.6,1.6,30.703125,Overweight,Normal
508,Combat Support,Regular Army,Female,255,1449,312,188,790,496,141,925,1703,479,335,969,250,355,1057,160,882,85.1,1.747,27.88327295,Overweight,Tall
509,Combat Service Support,Regular Army,Female,238,1293,298,168,700,411,117,791,1546,426,322,900,213,351,943,154,767,67.8,1.583,27.05626626,Overweight,Normal
510,Combat Service Support,Regular Army,Female,210,1380,305,157,737,452,121,871,1567,439,274,800,196,350,1010,150,840,64.5,1.662,23.35058018,Normal,Normal
511,Combat Support,Regular Army,Female,197,1394,319,159,797,465,132,905,1560,442,250,720,182,352,1058,152,826,61.8,1.697,21.45975653,Normal,Normal
512,Combat Service Support,Regular Army,Female,265,1451,329,199,846,463,136,888,1712,480,308,942,245,400,1048,162,866,84.3,1.732,28.10164863,Overweight,Tall
513,Combat Arms,Regular Army,Female,284,1328,317,180,798,425,127,850,1607,460,348,1015,265,357,974,159,785,79.3,1.647,29.2338483,Overweight,Normal
514,Combat Service Support,Regular Army,Female,269,1300,318,184,774,432,130,876,1482,432,337,1019,275,363,973,144,747,72.7,1.589,28.79298006,Overweight,Normal
515,Combat Service Support,Regular Army,Female,217,1262,292,168,726,408,124,807,1506,379,295,829,209,332,940,149,745,64.5,1.545,27.02108273,Overweight,Small
516,Combat Support,Regular Army,Female,298,1389,337,170,776,462,119,907,1601,451,325,937,234,362,1023,150,785,75.5,1.659,27.43179203,Overweight,Normal
517,Combat Support,Regular Army,Female,219,1228,287,153,715,387,133,773,1447,420,316,885,207,325,896,148,727,55.5,1.522,23.95872365,Normal,Small
518,Combat Support,Army National Guard,Female,230,1368,326,185,785,447,129,897,1601,423,278,816,209,370,1034,149,793,77.9,1.651,28.57875538,Overweight,Normal
519,Combat Support,Regular Army,Female,235,1441,328,173,786,476,132,938,1638,457,331,922,213,376,1072,156,863,76.3,1.767,24.43719976,Normal,Tall
520,Combat Service Support,Regular Army,Female,270,1319,309,179,710,419,127,849,1638,422,329,965,255,375,957,154,793,78.5,1.608,30.35970644,Overweight,Normal
521,Combat Support,Regular Army,Female,230,1335,334,171,808,449,118,889,1524,412,334,931,226,343,1008,152,772,71.7,1.605,27.83358081,Overweight,Normal
522,Combat Service Support,Regular Army,Female,215,1420,332,155,749,452,128,892,1592,475,315,895,214,375,1046,153,839,67.4,1.734,22.41618542,Normal,Tall
523,Combat Service Support,Army National Guard,Female,220,1373,301,185,706,429,124,845,1686,441,288,829,199,370,975,164,843,73,1.661,26.45961954,Overweight,Normal
524,Combat Service Support,Army National Guard,Female,270,1335,305,198,729,441,134,846,1549,427,342,980,249,349,984,154,791,75.4,1.589,29.86232044,Overweight,Normal
525,Combat Support,Regular Army,Female,209,1432,299,187,737,458,134,889,1640,429,290,800,185,368,1061,169,896,77.6,1.741,25.60142735,Overweight,Tall
526,Combat Support,Regular Army,Female,281,1352,311,180,786,440,133,876,1660,442,353,1012,265,381,1005,151,796,81,1.67,29.04370899,Overweight,Normal
527,Combat Support,Regular Army,Female,192,1382,315,161,767,457,120,874,1572,430,282,801,184,327,1036,154,832,66.7,1.68,23.63236961,Normal,Normal
528,Combat Service Support,Regular Army,Female,243,1418,330,186,776,437,132,864,1691,449,325,915,216,365,1040,155,855,79.1,1.736,26.24684109,Overweight,Tall
529,Combat Support,Regular Army,Female,249,1380,331,173,805,465,123,909,1535,430,320,937,236,375,1025,151,770,76.3,1.682,26.96947889,Overweight,Normal
530,Combat Service Support,Regular Army,Female,201,1410,315,168,759,449,122,876,1591,447,298,811,190,352,1037,156,829,65,1.714,22.12543008,Normal,Tall
531,Combat Support,Regular Army,Female,190,1250,293,142,708,392,130,764,1497,419,239,691,184,325,910,155,753,51.3,1.546,21.46339341,Normal,Small
532,Combat Support,Regular Army,Female,188,1338,317,155,742,433,127,860,1475,436,294,813,175,366,1008,145,773,59.1,1.634,22.13519624,Normal,Normal
533,Combat Support,Regular Army,Female,205,1290,295,171,720,420,130,828,1515,406,313,890,210,330,946,147,772,65.8,1.568,26.76293732,Overweight,Normal
534,Combat Support,Regular Army,Female,202,1258,282,145,687,402,123,850,1423,390,277,782,192,320,941,134,756,50.4,1.536,21.36230469,Normal,Small
535,Combat Service Support,Regular Army,Female,243,1295,313,180,748,424,125,835,1483,412,303,927,235,377,957,151,760,68.5,1.584,27.30110448,Overweight,Normal
536,Combat Service Support,Army National Guard,Female,217,1348,307,158,769,448,130,883,1512,425,310,874,204,365,1006,151,792,62.9,1.646,23.21619184,Normal,Normal
537,Combat Support,Regular Army,Female,199,1354,310,162,715,437,129,854,1515,440,266,765,191,360,983,145,818,56.8,1.664,20.51359098,Normal,Normal
538,Combat Service Support,Regular Army,Female,210,1350,301,166,718,430,138,842,1537,431,295,800,183,375,1016,157,834,66.1,1.658,24.0454222,Normal,Normal
539,Combat Support,Regular Army,Female,206,1425,325,163,802,445,138,869,1598,435,261,734,180,386,1065,164,857,68.3,1.738,22.61107234,Normal,Tall
540,Combat Service Support,Regular Army,Female,202,1432,334,189,793,481,129,924,1610,444,279,775,192,362,1073,162,864,79.1,1.745,25.97679822,Overweight,Tall
541,Combat Service Support,Regular Army,Female,279,1306,302,213,775,419,134,834,1677,437,367,1061,284,364,948,163,779,90.7,1.595,35.65216537,Overweight,Normal
542,Combat Support,Regular Army,Female,241,1331,314,169,755,434,130,846,1612,432,326,926,220,375,991,158,780,78.3,1.625,29.65207101,Overweight,Normal
543,Combat Service Support,Regular Army,Female,219,1322,314,173,796,437,133,855,1549,413,301,865,212,348,981,159,751,70.9,1.623,26.91591794,Overweight,Normal
544,Combat Support,Army National Guard,Female,196,1225,260,156,649,387,123,752,1470,420,266,752,189,320,875,144,748,50.9,1.518,22.08890764,Normal,Small
545,Combat Service Support,Regular Army,Female,241,1259,277,163,661,387,131,765,1560,427,313,877,205,356,887,145,761,62.3,1.525,26.78849772,Overweight,Small
546,Combat Support,Regular Army,Female,209,1285,301,167,725,420,122,810,1559,440,320,900,227,335,931,149,784,66.4,1.557,27.3899257,Overweight,Normal
547,Combat Support,Regular Army,Female,292,1449,342,198,820,467,131,926,1679,460,348,1054,275,409,1059,165,842,92.1,1.73,30.77282903,Overweight,Tall
548,Combat Service Support,Regular Army,Female,221,1325,315,157,783,423,124,836,1565,440,313,903,222,368,951,150,785,67.1,1.601,26.17820452,Overweight,Normal
549,Combat Support,Regular Army,Female,204,1312,307,156,743,426,121,845,1478,410,250,728,184,355,972,143,779,54.7,1.597,21.44754037,Normal,Normal
550,Combat Support,Regular Army,Female,242,1419,329,182,780,454,139,872,1693,502,336,947,234,414,1018,166,844,78.4,1.743,25.80603539,Overweight,Tall
551,Combat Support,Regular Army,Female,192,1395,324,150,746,428,124,862,1610,420,267,754,165,367,1020,150,828,59,1.683,20.82973667,Normal,Normal
552,Combat Support,Regular Army,Female,254,1436,336,156,802,480,134,934,1642,450,334,921,229,388,1074,162,859,76.3,1.752,24.85743625,Normal,Tall
553,Combat Support,Army Reserve,Female,223,1328,302,174,740,424,118,814,1637,409,300,851,206,368,985,142,806,70.9,1.618,27.08252799,Overweight,Normal
554,Combat Support,Regular Army,Female,211,1355,300,179,756,430,127,833,1610,427,312,851,194,390,992,160,819,70.3,1.62,26.78707514,Overweight,Normal
555,Combat Support,Army National Guard,Female,192,1362,325,162,747,432,115,855,1524,438,285,790,182,343,1009,143,800,58.1,1.649,21.36657055,Normal,Normal
556,Combat Service Support,Regular Army,Female,193,1418,333,141,781,466,120,903,1529,440,261,764,179,340,1060,146,821,59.3,1.709,20.30348402,Normal,Tall
557,Combat Support,Regular Army,Female,278,1294,296,180,705,408,128,781,1626,444,321,992,252,383,923,146,794,75.3,1.587,29.89793013,Overweight,Normal
558,Combat Support,Regular Army,Female,219,1338,306,172,717,422,128,834,1535,435,291,816,203,357,971,147,790,66.2,1.632,24.85522395,Normal,Normal
559,Combat Support,Army National Guard,Female,262,1260,284,159,672,391,131,761,1532,446,333,965,243,392,884,146,765,68.3,1.527,29.29156862,Overweight,Small
560,Combat Service Support,Army National Guard,Female,247,1372,291,183,736,421,125,862,1667,471,347,975,245,390,971,169,858,75.8,1.66,27.50762084,Overweight,Normal
561,Combat Service Support,Army National Guard,Female,220,1346,308,161,794,439,128,872,1551,431,258,734,195,360,998,152,790,61.3,1.632,23.01548683,Normal,Normal
562,Combat Service Support,Army National Guard,Female,218,1432,328,164,749,453,124,906,1671,486,314,820,200,387,1072,163,864,73,1.742,24.05617413,Normal,Tall
563,Combat Service Support,Army Reserve,Female,208,1388,317,170,750,456,118,873,1615,455,305,848,201,370,1030,159,833,70,1.709,23.96701317,Normal,Tall
564,Combat Service Support,Army National Guard,Female,248,1332,294,165,738,401,125,815,1668,431,314,925,223,380,951,154,807,75.1,1.619,28.65142584,Overweight,Normal
565,Combat Support,Army National Guard,Female,224,1380,321,156,816,443,125,867,1629,466,329,927,227,365,1000,164,815,73.8,1.675,26.3042994,Overweight,Normal
566,Combat Support,Regular Army,Female,204,1335,299,157,727,424,132,836,1534,435,314,837,182,365,974,151,801,64.2,1.634,24.04534007,Normal,Normal
567,Combat Service Support,Army National Guard,Female,194,1386,322,153,747,452,127,873,1548,428,295,802,186,356,1031,150,824,59.5,1.679,21.10646848,Normal,Normal
568,Combat Service Support,Regular Army,Female,218,1314,311,152,754,433,120,822,1502,444,298,846,208,337,958,147,778,56.9,1.614,21.8426439,Normal,Normal
569,Combat Service Support,Army National Guard,Female,187,1390,337,152,766,448,130,871,1502,444,285,778,175,352,1036,154,800,59.6,1.684,21.01658194,Normal,Normal
570,Combat Service Support,Regular Army,Female,222,1310,291,164,736,422,122,846,1546,455,283,853,241,365,932,150,793,63.1,1.597,24.74112976,Normal,Normal
571,Combat Service Support,Regular Army,Female,187,1313,286,152,713,433,126,814,1553,402,262,730,175,382,985,142,819,58.9,1.61,22.72288878,Normal,Normal
572,Combat Support,Regular Army,Female,253,1386,328,178,804,467,130,917,1570,445,303,886,238,365,1029,153,825,74.6,1.688,26.18146493,Overweight,Normal
573,Combat Support,Regular Army,Female,228,1416,333,187,833,480,129,914,1655,453,335,929,220,395,1044,156,820,86.4,1.725,29.03591682,Overweight,Tall
574,Combat Support,Regular Army,Female,244,1337,315,154,748,441,119,844,1535,443,314,900,219,355,960,146,780,60.8,1.609,23.4850501,Normal,Normal
575,Combat Support,Regular Army,Female,213,1289,286,133,712,417,125,783,1475,432,262,759,180,375,929,149,771,50.4,1.585,20.06189732,Normal,Normal
576,Combat Support,Regular Army,Female,215,1279,287,142,687,429,128,834,1492,408,290,816,202,325,941,147,777,54.9,1.562,22.50143862,Normal,Normal
577,Combat Support,Regular Army,Female,210,1247,277,137,717,391,126,757,1496,426,275,770,189,372,881,143,765,53,1.547,22.14599728,Normal,Small
578,Combat Support,Regular Army,Female,226,1308,291,169,726,419,131,822,1618,435,317,895,216,361,960,154,792,69.2,1.611,26.66336842,Overweight,Normal
579,Combat Support,Regular Army,Female,233,1425,331,156,776,488,124,944,1605,437,307,880,208,373,1075,151,859,71.3,1.74,23.55000661,Normal,Tall
580,Combat Support,Regular Army,Female,234,1258,271,179,662,408,126,793,1594,407,312,904,220,338,921,155,794,70.5,1.555,29.1560261,Overweight,Normal
581,Combat Support,Regular Army,Female,269,1362,310,166,739,448,122,860,1583,466,310,938,256,390,970,152,820,69.9,1.65,25.67493113,Overweight,Normal
582,Combat Support,Regular Army,Female,240,1278,288,161,719,422,133,780,1576,441,309,906,223,373,917,151,776,65.9,1.583,26.29805231,Overweight,Normal
583,Combat Support,Regular Army,Female,210,1345,305,170,732,442,117,829,1589,408,266,750,188,334,1007,156,795,63.2,1.647,23.29860293,Normal,Normal
584,Combat Support,Regular Army,Female,243,1257,303,178,752,420,117,825,1516,412,286,845,213,345,931,150,721,69.6,1.532,29.65457533,Overweight,Small
585,Combat Service Support,Regular Army,Female,220,1341,320,154,749,453,125,853,1525,423,279,811,203,341,991,148,767,59.3,1.619,22.62356261,Normal,Normal
586,Combat Service Support,Regular Army,Female,225,1390,302,173,753,474,131,889,1579,433,314,888,205,370,1025,152,867,69.5,1.704,23.93567193,Normal,Tall
587,Combat Service Support,Regular Army,Female,215,1392,319,185,757,453,124,889,1602,411,265,774,190,377,1060,162,846,79.7,1.689,27.93823861,Overweight,Normal
588,Combat Service Support,Regular Army,Female,219,1376,318,155,782,448,122,854,1582,455,294,846,204,365,984,156,816,61.9,1.657,22.54476082,Normal,Normal
589,Combat Support,Regular Army,Female,249,1375,333,179,827,478,120,913,1518,384,292,861,215,355,1029,151,792,67.7,1.647,24.95752244,Normal,Normal
590,Combat Support,Regular Army,Female,198,1369,337,138,810,457,120,898,1545,433,240,724,190,328,1030,150,789,54.4,1.67,19.50589838,Normal,Normal
591,Combat Support,Regular Army,Female,264,1230,297,167,760,405,125,800,1480,420,303,928,246,350,898,145,723,64.6,1.496,28.86485173,Overweight,Small
592,Combat Service Support,Regular Army,Female,278,1397,342,167,855,474,126,908,1645,453,333,1026,272,415,1021,166,799,88.2,1.717,29.91768566,Overweight,Tall
593,Combat Support,Regular Army,Female,241,1247,289,160,706,400,123,791,1541,418,318,915,229,340,908,145,747,63.4,1.531,27.0482316,Overweight,Small
594,Combat Support,Regular Army,Female,250,1366,326,176,785,455,125,882,1587,453,332,987,261,346,1009,153,797,76.5,1.666,27.56204523,Overweight,Normal
595,Combat Service Support,Regular Army,Female,238,1295,290,174,724,405,129,803,1535,456,313,915,235,359,910,144,788,65.4,1.574,26.39783392,Overweight,Normal
596,Combat Support,Regular Army,Female,231,1378,327,186,764,441,139,829,1652,474,306,888,226,385,986,168,817,83.7,1.663,30.2650196,Overweight,Normal
597,Combat Service Support,Regular Army,Female,235,1325,319,164,737,456,120,869,1522,399,297,863,204,374,983,160,761,65.2,1.617,24.93604402,Normal,Normal
598,Combat Service Support,Regular Army,Female,233,1305,309,168,744,443,124,845,1573,430,293,857,233,364,936,145,755,62.4,1.585,24.83853954,Normal,Normal
599,Combat Support,Regular Army,Female,284,1381,326,212,787,458,123,879,1745,449,348,1037,265,393,990,166,822,99.4,1.647,36.64368879,Overweight,Normal
600,Combat Support,Regular Army,Female,262,1364,320,171,784,449,135,864,1574,424,330,950,243,373,985,156,799,74.8,1.643,27.70935847,Overweight,Normal
601,Combat Support,Regular Army,Female,245,1352,320,157,783,471,134,910,1494,442,301,877,235,360,1006,156,770,64.9,1.677,23.07695863,Normal,Normal
602,Combat Service Support,Regular Army,Female,173,1364,337,142,775,461,116,896,1520,415,250,665,157,350,1044,153,790,54.2,1.67,19.43418552,Normal,Normal
603,Combat Service Support,Regular Army,Female,245,1337,302,182,747,442,130,831,1648,425,311,885,214,355,998,165,788,81.4,1.651,29.86278162,Overweight,Normal
604,Combat Service Support,Regular Army,Female,208,1231,282,158,654,398,118,776,1527,419,271,812,191,360,884,153,744,56.3,1.525,24.20854609,Normal,Small
605,Combat Service Support,Regular Army,Female,285,1418,315,191,803,473,127,878,1752,470,378,1096,272,426,1005,165,852,96.7,1.715,32.87745752,Overweight,Tall
606,Combat Service Support,Regular Army,Female,285,1298,304,196,740,424,131,788,1597,455,326,1006,273,412,925,172,778,83.7,1.602,32.61372722,Overweight,Normal
607,Combat Service Support,Regular Army,Female,170,1258,280,145,718,427,132,805,1421,403,255,685,148,308,954,144,750,50.2,1.57,20.36593777,Normal,Normal
608,Combat Service Support,Regular Army,Female,260,1357,314,158,802,468,131,899,1545,446,321,944,256,404,984,158,784,65.7,1.662,23.78500958,Normal,Normal
609,Combat Support,Regular Army,Female,247,1293,301,184,706,429,128,821,1587,444,327,973,245,355,922,153,761,70.7,1.561,29.01440091,Overweight,Normal
610,Combat Support,Regular Army,Female,270,1268,304,166,711,416,124,816,1589,422,340,975,240,363,920,158,749,66.9,1.543,28.09922007,Overweight,Small
611,Combat Service Support,Regular Army,Female,223,1263,306,143,748,431,140,816,1457,398,303,853,209,340,943,146,731,59.7,1.562,24.46877751,Normal,Normal
612,Combat Service Support,Regular Army,Female,228,1334,300,174,749,434,127,851,1609,436,305,885,222,363,982,164,794,72,1.627,27.19927892,Overweight,Normal
613,Combat Support,Regular Army,Female,210,1358,307,163,720,440,123,843,1627,430,294,816,191,370,1015,168,819,75,1.678,26.63651177,Overweight,Normal
614,Combat Support,Regular Army,Female,233,1340,299,162,729,438,112,874,1550,419,348,982,242,335,972,151,810,67.3,1.608,26.02813049,Overweight,Normal
615,Combat Support,Regular Army,Female,224,1373,305,196,743,457,130,868,1637,440,300,856,215,341,1019,166,820,78.4,1.672,28.04422976,Overweight,Normal
616,Combat Service Support,Regular Army,Female,177,1356,315,147,730,456,123,835,1512,413,261,710,163,355,1001,155,802,51.6,1.661,18.70296395,Normal,Normal
617,Combat Service Support,Regular Army,Female,224,1289,307,164,748,415,130,828,1542,394,314,890,201,342,940,152,752,63,1.574,25.42910607,Overweight,Normal
618,Combat Support,Regular Army,Female,260,1365,335,173,784,474,123,891,1596,450,330,990,284,370,1004,162,783,79.3,1.67,28.43414966,Overweight,Normal
619,Combat Support,Regular Army,Female,196,1275,286,143,676,402,129,793,1525,443,287,793,191,357,913,145,774,56.4,1.585,22.45021843,Normal,Normal
620,Combat Support,Regular Army,Female,270,1279,290,173,688,404,127,755,1587,405,340,962,228,365,919,158,765,68.7,1.574,27.72983472,Overweight,Normal
621,Combat Support,Regular Army,Female,197,1323,317,153,735,450,130,869,1460,380,240,727,178,322,1006,147,747,59,1.617,22.56482511,Normal,Normal
622,Combat Support,Regular Army,Female,217,1281,304,164,766,441,130,828,1492,417,259,770,196,348,975,155,733,60.3,1.592,23.79201283,Normal,Normal
623,Combat Service Support,Regular Army,Female,249,1391,319,170,762,469,132,885,1609,432,329,930,231,377,1015,155,830,69.9,1.705,24.04520085,Normal,Tall
624,Combat Service Support,Regular Army,Female,219,1338,296,144,721,451,130,846,1519,428,297,849,192,390,964,143,805,57.3,1.62,21.83356196,Normal,Normal
625,Combat Support,Regular Army,Female,245,1293,300,167,722,442,128,845,1505,401,286,882,243,375,949,143,763,65.4,1.579,26.23091791,Overweight,Normal
626,Combat Support,Regular Army,Female,212,1364,301,158,718,458,120,867,1570,385,270,749,185,310,1037,157,832,60.3,1.661,21.85637066,Normal,Normal
627,Combat Support,Regular Army,Female,250,1287,306,180,755,436,143,839,1531,425,318,935,242,357,945,160,750,77.1,1.595,30.30630595,Overweight,Normal
628,Combat Service Support,Regular Army,Female,244,1343,296,175,709,429,120,818,1666,448,318,903,214,392,972,162,826,76.7,1.646,28.30972836,Overweight,Normal
629,Combat Service Support,Regular Army,Female,232,1253,289,181,692,404,115,795,1535,432,306,890,223,319,906,149,736,66.7,1.522,28.79363725,Overweight,Small
630,Combat Support,Regular Army,Female,242,1446,333,177,792,495,129,936,1661,464,308,900,233,399,1070,165,867,78.3,1.76,25.2776343,Overweight,Tall
631,Combat Support,Army National Guard,Female,190,1193,272,153,663,394,137,752,1370,377,265,752,177,340,890,142,710,51.8,1.505,22.86950475,Normal,Small
632,Combat Arms,Regular Army,Female,211,1430,329,150,810,486,118,907,1572,440,290,803,190,370,1043,161,842,66.3,1.708,22.72677413,Normal,Tall
633,Combat Service Support,Regular Army,Female,229,1389,342,164,788,477,129,902,1565,421,295,861,216,350,1037,150,791,65.5,1.659,23.79844209,Normal,Normal
634,Combat Support,Regular Army,Female,256,1318,311,172,737,450,129,864,1540,437,305,906,226,345,965,162,779,69,1.613,26.52041745,Overweight,Normal
635,Combat Support,Regular Army,Female,239,1365,325,173,790,468,138,899,1562,417,318,870,218,357,1010,151,779,68,1.666,24.49959576,Normal,Normal
636,Combat Arms,Regular Army,Female,234,1282,297,170,746,430,122,823,1468,386,315,860,200,341,974,146,756,60.9,1.565,24.86500832,Normal,Normal
637,Combat Support,Regular Army,Female,207,1299,300,171,725,449,115,871,1490,412,280,785,218,320,983,153,765,64.6,1.578,25.94289992,Overweight,Normal
638,Combat Support,Regular Army,Female,197,1225,292,148,710,413,119,797,1386,382,266,770,190,306,922,149,701,54,1.48,24.65303141,Normal,Small
639,Combat Support,Regular Army,Female,198,1337,312,142,735,453,128,851,1501,403,280,756,172,318,1007,148,784,53,1.636,19.80200979,Normal,Normal
640,Combat Service Support,Regular Army,Female,250,1314,302,188,805,456,132,832,1567,412,311,901,218,313,997,156,760,78.9,1.608,30.51440558,Overweight,Normal
641,Combat Service Support,Regular Army,Female,212,1275,302,128,680,449,118,837,1349,373,223,658,182,325,972,139,743,43.1,1.552,17.89343979,Underweight,Normal
642,Combat Support,Regular Army,Female,223,1284,293,184,719,443,130,840,1542,357,299,873,215,305,981,176,752,74.6,1.559,30.69351293,Overweight,Normal
643,Combat Service Support,Regular Army,Female,272,1315,301,171,735,445,114,827,1601,482,332,1033,271,418,894,152,784,71.2,1.595,27.98714635,Overweight,Normal
644,Combat Support,Regular Army,Female,239,1378,326,165,809,466,126,873,1615,412,304,863,214,345,1028,159,807,72.7,1.674,25.9431976,Overweight,Normal
645,Combat Support,Regular Army,Female,195,1350,328,158,728,456,129,872,1511,404,273,761,181,348,1004,160,800,61.3,1.661,22.2188312,Normal,Normal
646,Combat Support,Army National Guard,Female,237,1293,321,153,774,465,120,847,1445,399,251,792,226,332,977,157,728,57.4,1.55,23.8917794,Normal,Normal
647,Combat Support,Regular Army,Female,219,1319,296,186,699,443,124,832,1542,412,277,832,207,351,957,142,804,65.5,1.597,25.68215529,Overweight,Normal
648,Combat Support,Regular Army,Female,192,1258,295,156,700,419,130,804,1474,374,273,753,181,354,931,157,722,57.7,1.543,24.23505229,Normal,Small
649,Combat Support,Regular Army,Female,220,1349,312,156,742,469,121,883,1493,415,260,760,200,325,1023,155,786,58.5,1.636,21.85693534,Normal,Normal
650,Combat Support,Regular Army,Female,237,1289,283,161,711,409,128,788,1564,440,328,913,220,367,912,154,781,62.7,1.563,25.66549146,Overweight,Normal
651,Combat Support,Regular Army,Female,215,1218,289,156,722,414,138,762,1420,396,257,779,196,335,908,145,712,53.5,1.506,23.58869083,Normal,Small
652,Combat Support,Army National Guard,Female,225,1394,312,159,713,472,130,910,1550,428,279,803,194,375,1036,158,849,65.2,1.689,22.85537212,Normal,Normal
653,Combat Support,Regular Army,Female,222,1317,298,176,736,432,137,806,1576,408,292,878,198,361,960,160,797,70.2,1.6,27.421875,Overweight,Normal
654,Combat Support,Regular Army,Female,301,1536,358,179,796,519,124,998,1786,513,385,1080,271,384,1112,166,908,93.1,1.827,27.89154593,Overweight,Tall
655,Combat Support,Regular Army,Female,187,1310,313,153,713,467,122,894,1383,403,257,742,197,325,1005,141,757,53.2,1.594,20.93799049,Normal,Normal
656,Combat Support,Army National Guard,Female,215,1445,323,179,768,502,114,941,1597,412,287,817,201,376,1114,163,874,73.5,1.768,23.51379988,Normal,Tall
657,Combat Support,Army National Guard,Female,201,1370,315,150,706,474,117,902,1494,427,261,759,186,359,1019,147,812,55.7,1.658,20.26217877,Normal,Normal
658,Combat Support,Army National Guard,Female,230,1329,304,166,753,430,127,846,1592,435,304,865,222,362,966,150,801,65.5,1.629,24.68306753,Normal,Normal
659,Combat Support,Army National Guard,Female,215,1382,319,169,729,454,129,897,1597,425,318,855,196,367,1007,153,842,69.1,1.672,24.71755454,Normal,Normal
660,Combat Support,Regular Army,Female,273,1468,358,204,860,510,125,985,1653,453,327,967,250,403,1095,174,835,96.5,1.783,30.35460788,Overweight,Tall
661,Combat Support,Army National Guard,Female,268,1283,276,178,698,435,115,816,1555,454,333,992,257,358,919,156,773,70.2,1.571,28.44361176,Overweight,Normal
662,Combat Service Support,Regular Army,Female,226,1225,269,151,730,428,122,801,1378,356,246,736,194,346,936,149,728,52.3,1.525,22.48857834,Normal,Small
663,Combat Support,Army National Guard,Female,258,1328,320,154,768,452,128,854,1484,440,291,876,240,347,969,155,772,66,1.595,25.94314128,Overweight,Normal
664,Combat Support,Regular Army,Female,236,1394,346,183,806,474,129,915,1640,457,324,947,213,352,1036,165,813,81.4,1.708,27.90285692,Overweight,Tall
665,Combat Support,Army National Guard,Female,258,1486,360,188,814,500,145,984,1701,472,356,1000,251,432,1082,174,882,95.2,1.818,28.80376046,Overweight,Tall
666,Combat Support,Army National Guard,Female,213,1396,334,165,777,477,145,929,1529,448,277,802,209,360,1028,158,804,65.8,1.688,23.09303475,Normal,Normal
