headbreadth,headcircumference,headlength,tragiontopofhead,neckcircumference,neckcircumferencebase
184,150,570,424,112,385
168,152,557,422,123,377
197,158,574,464,114,388
184,160,573,483,134,402
196,159,564,503,123,387
193,149,553,455,120,407
194,157,579,486,114,436
208,154,591,523,114,434
195,154,563,486,118,378
191,153,586,468,123,397
195,156,584,468,114,357
200,170,603,504,127,420
204,153,584,511,130,411
187,144,548,471,125,405
192,151,572,487,118,377
180,157,558,459,117,410
186,157,577,472,118,415
192,158,568,511,115,413
181,155,570,462,120,368
198,154,574,514,127,405
199,152,587,497,116,433
197,153,573,470,122,410
198,152,564,508,129,399
191,147,556,484,124,369
180,158,573,457,123,406
196,152,590,498,124,422
190,153,578,493,130,429
206,157,607,507,128,432
185,149,545,451,117,383
200,160,600,480,118,408
178,153,545,435,120,402
193,152,591,472,129,426
196,150,568,457,109,394
207,158,583,496,126,408
187,147,568,439,123,402
210,158,593,529,119,444
191,154,603,444,122,380
187,153,593,436,124,411
198,150,575,476,124,380
196,154,564,499,123,420
182,157,577,449,122,359
190,155,569,444,124,397
196,146,576,477,131,387
199,164,601,496,116,425
182,163,606,493,123,462
195,151,566,462,115,382
190,148,546,458,109,388
191,153,587,453,126,449
194,152,566,486,123,405
194,151,591,457,122,397
198,153,580,529,123,383
217,158,588,545,121,417
184,156,589,436,115,385
204,150,571,476,118,397
193,158,571,454,110,426
205,159,600,478,133,451
187,149,578,454,129,422
195,168,618,475,130,466
174,147,544,445,114,365
194,156,566,474,128,410
181,149,573,456,116,358
205,153,583,497,121,415
191,149,558,480,119,396
206,155,574,468,124,441
200,158,583,473,124,412
200,156,580,499,119,425
174,153,557,431,123,382
194,154,589,468,129,419
197,163,596,431,127,408
189,159,603,472,123,438
188,156,587,456,122,414
180,157,605,446,115,397
193,152,578,454,115,413
190,157,602,471,121,415
190,161,615,474,121,465
187,154,556,451,115,404
187,154,599,492,131,425
190,166,577,499,135,419
190,156,596,494,127,404
186,160,593,434,124,447
192,150,545,461,119,379
198,155,578,475,120,440
185,155,568,459,124,430
212,152,572,503,126,399
204,150,585,488,124,408
196,152,578,478,117,405
193,150,551,486,128,376
175,154,567,431,121,421
184,158,602,443,120,433
192,152,580,475,117,412
183,146,556,468,124,384
197,151,552,461,120,394
198,156,592,473,128,418
214,153,574,488,127,438
201,158,585,467,116,379
197,153,566,489,134,379
205,153,580,494,124,372
200,153,565,484,123,408
196,156,578,460,127,432
176,154,551,414,114,389
209,162,572,475,120,450
176,149,557,462,121,385
189,149,563,463,109,367
194,152,588,480,135,474
195,150,577,483,120,408
188,164,603,451,121,433
186,154,588,440,123,376
186,162,574,465,118,404
201,163,587,461,133,483
183,151,563,449,111,365
188,144,555,499,114,370
198,155,587,503,128,382
181,160,581,454,126,449
197,156,578,479,128,373
187,159,582,436,115,419
198,157,552,458,133,368
196,147,579,475,120,391
193,153,584,490,127,428
197,155,587,470,124,420
206,160,599,509,129,408
185,158,578,468,117,382
184,149,573,448,120,398
204,146,594,493,123,403
195,157,600,483,129,422
191,153,572,477,131,400
197,161,594,482,120,395
187,147,568,454,111,404
195,148,569,493,112,371
200,146,564,486,119,372
182,156,569,448,102,400
194,153,584,465,130,388
186,150,574,476,120,360
195,153,580,479,125,410
191,155,590,446,133,417
194,160,583,479,131,451
193,146,566,452,123,398
190,154,570,486,119,420
201,148,561,469,119,398
186,164,584,468,123,402
195,154,593,481,118,418
188,152,569,458,123,435
180,147,553,446,107,398
197,161,569,478,111,418
195,156,569,483,124,401
204,157,587,471,122,469
192,161,577,477,118,451
195,153,578,477,108,392
185,161,577,502,126,412
194,152,578,473,122,426
190,156,580,464,116,410
210,158,600,485,142,418
187,148,566,444,109,414
193,157,572,481,124,398
193,163,590,493,122,430
197,151,577,475,125,405
210,152,573,521,121,393
176,157,568,423,128,350
206,140,560,504,112,378
193,158,588,477,132,375
205,157,568,511,118,421
199,165,607,466,132,410
206,153,593,481,128,411
200,157,584,492,133,433
197,155,578,507,124,455
205,156,589,494,125,485
231,153,576,510,128,371
213,148,571,494,132,396
215,148,567,501,122,362
204,158,595,491,126,437
215,150,563,540,128,391
174,148,547,422,114,378
207,147,582,511,126,382
192,151,567,468,129,395
204,150,573,502,132,382
195,164,590,452,119,428
190,148,573,467,115,385
198,152,582,456,123,419
204,158,580,498,138,400
198,154,577,470,132,394
189,155,559,463,112,365
214,162,593,498,119,446
203,158,564,469,124,429
191,153,569,455,125,412
207,151,569,492,126,390
205,155,590,475,123,402
203,163,584,478,125,460
194,160,594,457,122,422
186,157,579,435,122,416
204,158,588,495,119,405
183,148,553,441,116,366
207,156,590,502,127,419
200,144,566,458,115,392
186,157,552,442,108,406
186,140,552,455,122,375
197,160,588,479,114,447
198,161,589,472,123,411
190,156,580,462,128,391
184,153,568,437,118,381
194,163,596,468,124,439
196,154,577,468,116,415
193,146,549,449,106,345
198,158,577,493,122,410
183,147,557,436,118,385
180,151,568,452,123,405
191,152,587,479,122,472
177,158,572,424,130,394
194,155,575,478,126,449
198,150,571,478,113,438
200,158,596,497,134,467
208,154,603,478,118,417
178,154,562,443,112,369
212,157,579,514,116,352
194,154,573,458,113,403
194,151,571,464,119,400
202,151,575,505,124,392
207,154,585,487,126,396
197,154,584,504,115,397
203,164,624,473,132,453
177,153,568,449,112,384
184,153,569,483,125,400
198,150,574,460,118,393
195,161,596,472,133,387
198,158,573,508,132,377
186,156,558,463,121,349
198,162,573,477,130,391
191,157,554,443,116,372
186,150,541,456,110,372
183,159,557,458,116,373
186,160,587,498,128,427
196,152,558,484,119,411
181,154,568,451,120,384
200,157,617,480,128,408
203,152,596,479,120,423
181,156,600,468,124,379
186,145,551,452,121,398
185,149,562,457,125,401
210,164,615,489,141,404
180,145,575,484,120,364
215,142,578,502,125,401
172,149,547,400,122,390
208,148,597,515,133,403
201,152,565,478,119,407
204,158,580,488,128,445
201,158,593,521,122,394
177,150,559,439,118,405
192,148,566,483,122,402
188,155,567,457,134,411
185,150,584,480,119,399
197,147,565,479,123,445
189,152,560,455,128,394
199,142,571,466,127,421
212,160,584,492,126,447
171,153,560,432,108,370
188,151,571,430,128,379
188,155,582,453,119,383
167,160,558,388,108,427
186,154,581,435,117,363
190,153,581,467,129,390
193,156,598,484,132,421
176,156,553,423,117,371
181,158,595,432,129,400
201,160,590,476,112,414
204,151,574,465,122,396
197,151,563,470,120,375
197,152,594,465,119,431
179,148,563,456,116,365
186,153,580,463,122,399
194,149,577,459,118,393
177,153,590,432,116,426
191,152,563,444,124,382
188,155,559,437,120,354
191,169,587,472,121,427
203,148,554,452,111,373
204,153,591,488,123,425
200,153,598,486,121,393
193,151,548,456,108,394
191,158,572,466,122,417
203,153,549,492,119,428
196,160,604,480,128,428
190,147,566,442,120,389
198,157,577,505,129,408
184,147,544,443,109,335
189,149,579,490,123,395
190,158,615,474,124,392
196,147,572,508,109,384
196,157,614,482,133,458
188,150,605,470,118,391
201,154,584,458,119,394
184,158,577,462,113,360
173,144,535,427,109,335
204,157,581,460,131,383
184,150,557,485,124,380
185,151,568,435,118,377
212,160,601,493,132,444
173,146,548,428,112,373
194,159,604,467,110,410
215,152,587,513,124,445
200,153,594,505,127,442
213,165,575,488,119,432
190,154,557,466,127,397
211,151,568,485,122,426
190,162,583,463,130,372
197,163,580,478,132,406
206,155,572,497,127,395
194,161,597,481,126,425
210,143,560,494,121,433
191,160,592,476,126,404
192,152,569,427,130,366
184,151,560,458,125,403
209,159,575,481,124,428
190,154,590,452,137,399
207,147,581,497,118,371
191,159,578,478,125,390
204,155,573,485,128,360
187,150,579,459,123,383
181,155,566,433,115,365
175,147,548,424,109,349
213,152,567,502,133,374
197,163,623,459,117,421
181,160,607,452,129,383
206,157,583,421,116,437
185,164,575,440,111,381
202,157,582,475,135,395
195,162,575,460,115,430
201,158,570,450,126,399
195,152,572,472,118,416
186,160,574,464,131,403
174,152,553,387,111,363
200,146,563,466,129,364
185,155,557,433,127,377
201,154,573,451,119,415
187,148,558,430,122,398
195,157,567,479,118,380
191,162,581,436,127,447
210,160,574,457,132,405
186,153,577,465,114,399
200,157,570,503,128,426
198,160,595,488,128,392
195,157,590,488,120,382
191,144,564,487,130,405
212,153,567,475,132,369
200,155,577,475,122,406
184,154,577,446,115,384
188,158,606,464,117,412
199,144,590,502,139,409
188,170,617,463,123,388
196,150,566,473,124,379
213,161,613,536,132,413
206,156,576,483,125,415
191,146,588,462,125,405
191,154,580,478,132,385
213,152,600,497,132,406
204,157,572,485,131,410
207,156,588,479,137,402
202,156,607,465,123,393
196,150,550,454,115,387
178,163,573,434,127,349
199,156,581,465,123,401
199,154,572,488,120,400
203,155,582,474,122,430
189,150,571,434,118,392
205,150,567,515,122,385
194,172,589,447,129,405
186,156,574,418,113,360
190,148,583,456,122,378
187,155,584,436,129,391
180,155,593,462,129,403
192,156,615,466,123,409
209,151,560,446,124,395
196,154,590,502,119,420
204,157,603,470,132,445
201,154,565,478,118,383
200,160,590,496,132,397
209,158,584,493,125,417
194,160,610,451,123,418
203,149,563,492,127,423
193,154,585,482,125,417
188,149,576,476,128,374
198,165,588,470,132,380
217,148,574,517,119,406
192,145,560,471,127,394
201,152,582,472,120,388
186,153,586,446,124,377
201,148,574,495,129,398
197,147,574,513,120,435
197,156,559,464,121,372
204,156,584,454,117,396
186,152,558,445,122,387
194,148,571,467,121,379
186,154,554,457,110,372
176,146,554,433,111,356
201,152,564,438,122,385
197,154,574,479,114,395
192,157,588,494,125,386
186,141,554,435,126,370
206,156,585,491,122,395
203,140,565,500,119,441
184,152,570,473,116,397
185,158,588,476,120,409
191,153,580,456,126,361
181,151,556,441,115,375
171,143,576,400,116,385
204,166,596,494,124,380
187,161,577,436,122,379
198,154,584,492,135,441
187,158,578,428,129,448
202,158,613,477,121,426
182,154,588,440,122,394
207,152,591,489,128,423
188,155,584,434,128,411
203,152,578,496,124,385
217,159,614,513,129,456
185,157,591,457,125,367
190,146,573,467,116,372
175,151,556,431,121,370
209,147,564,507,130,363
179,163,596,424,133,384
197,163,594,465,122,461
203,164,607,516,136,473
196,158,605,486,127,420
206,154,587,486,128,415
188,155,555,426,118,366
195,162,592,457,122,425
193,151,592,447,123,402
204,160,614,465,134,408
194,153,569,449,119,416
185,149,562,441,115,387
184,144,550,466,116,365
214,148,586,542,120,366
188,154,577,483,128,397
195,148,570,526,124,383
195,154,574,472,116,400
194,156,586,492,120,382
200,157,588,457,109,429
210,158,584,521,123,388
202,154,588,464,117,366
203,156,568,474,122,387
192,157,586,463,119,405
201,144,589,453,122,367
187,152,581,451,116,415
192,153,572,466,120,369
194,154,581,467,122,413
200,147,582,477,135,415
184,156,554,432,126,361
175,156,543,401,113,385
188,150,568,459,125,411
191,155,568,466,115,382
186,154,555,485,118,404
195,157,572,475,129,418
194,156,571,485,133,458
203,156,596,508,110,451
184,151,584,445,122,431
194,156,594,485,111,384
203,154,580,461,128,415
209,158,582,479,128,407
201,165,600,461,121,422
206,151,573,503,127,386
191,157,566,442,126,404
197,153,570,461,122,380
177,153,577,415,108,386
179,154,566,463,110,370
189,157,587,472,134,404
204,156,594,490,125,392
214,151,567,466,118,382
203,148,555,498,129,382
185,151,572,489,129,381
176,150,562,429,121,387
188,140,545,451,110,366
183,153,560,443,122,410
199,148,562,473,112,375
187,154,561,453,123,418
196,164,610,470,119,433
192,157,585,472,128,403
209,147,562,509,134,382
209,153,599,498,135,438
203,155,584,491,130,401
215,159,625,497,130,466
187,160,587,429,126,385
197,156,576,490,133,464
199,148,572,458,122,417
192,164,586,465,114,412
193,145,543,473,115,387
192,156,574,468,108,376
192,154,590,471,117,426
203,153,541,466,126,378
195,166,600,479,123,458
192,152,567,468,129,394
195,157,590,473,116,418
196,146,567,516,117,398
193,153,590,462,128,410
201,159,585,484,122,406
193,154,587,480,128,382
175,150,561,466,112,362
190,150,572,482,123,397
191,155,564,507,121,377
178,150,550,448,117,358
196,154,584,488,116,395
205,154,531,455,120,368
205,156,577,497,124,392
190,155,564,458,120,411
203,138,555,496,130,355
197,156,576,486,123,471
194,144,560,491,114,394
178,156,588,428,124,397
203,158,579,464,126,373
190,153,563,444,118,380
190,151,550,474,130,349
186,167,584,458,111,397
183,150,563,444,114,352
191,158,591,467,130,415
202,151,567,481,115,381
198,151,587,473,124,381
191,155,578,471,128,422
191,164,602,458,121,398
210,163,584,512,128,443
196,150,573,456,123,402
186,153,564,431,118,375
214,161,598,537,126,467
182,156,583,428,127,397
182,150,565,433,125,383
197,148,547,484,128,368
204,158,592,454,130,393
183,158,577,443,121,436
184,145,549,441,114,370
201,153,576,437,134,437
195,158,582,459,119,414
184,166,598,458,130,390
198,153,594,512,131,404
180,147,567,435,119,410
189,159,589,434,125,431
194,149,600,486,123,449
191,163,563,479,122,429
210,155,582,499,129,392
229,152,583,520,136,399
201,154,570,497,128,381
208,164,613,494,129,442
189,161,563,464,117,368
194,162,604,470,122,399
192,158,587,429,129,420
181,157,568,448,132,375
180,161,597,454,127,441
194,149,563,471,123,413
190,154,574,490,130,361
193,152,578,461,121,420
200,150,575,508,113,444
191,160,620,494,133,432
200,160,589,459,124,388
192,164,588,452,119,415
178,153,577,423,120,398
177,160,574,426,110,401
203,157,598,491,137,429
191,161,594,480,137,417
196,160,603,472,120,427
196,155,599,485,121,450
198,176,585,454,133,382
181,152,562,439,122,356
192,156,590,464,113,437
190,154,564,434,105,373
197,141,575,473,125,368
194,159,563,475,132,404
197,164,575,463,111,380
185,152,573,459,125,383
194,150,578,452,117,378
212,159,604,515,135,451
193,156,576,473,113,384
190,146,527,440,109,372
204,148,573,512,125,378
200,154,568,494,127,386
207,148,558,470,120,380
197,165,613,473,129,448
204,157,577,471,133,450
190,150,581,450,107,393
205,156,566,479,124,433
201,153,570,493,119,417
180,154,576,438,117,402
197,171,625,455,136,407
215,153,597,514,122,427
184,161,567,430,119,383
203,150,563,492,126,369
190,154,560,443,120,376
200,180,600,465,132,430
201,166,591,486,120,426
219,154,594,481,125,399
193,158,586,463,134,414
204,149,582,483,123,367
190,152,578,426,121,446
194,159,587,451,123,401
194,157,583,482,119,411
193,157,564,483,125,413
213,155,601,518,130,436
202,153,582,498,137,443
202,153,574,500,128,421
204,147,547,454,115,399
176,156,570,439,115,383
204,149,582,496,130,439
194,157,586,469,125,433
195,152,575,456,126,376
189,151,566,471,120,401
194,154,598,492,121,430
198,151,574,474,120,418
190,154,595,455,121,388
200,156,603,491,123,421
201,154,565,453,128,407
196,147,550,469,130,389
204,170,584,464,129,367
200,150,562,473,128,398
215,158,593,514,127,412
197,158,599,446,124,452
185,158,584,442,122,414
190,150,578,457,120,362
183,156,578,461,123,398
177,155,579,425,124,382
206,152,590,490,127,385
202,159,597,464,123,405
197,152,562,481,117,416
220,160,575,548,127,424
218,144,574,539,118,371
195,158,592,486,130,428
200,153,588,484,133,484
184,154,557,452,109,364
225,156,593,529,131,425
198,152,574,464,114,417
199,158,578,484,128,397
198,156,578,486,128,381
197,153,568,486,129,395
216,153,598,522,136,437
197,154,580,466,123,405
204,154,582,531,114,395
210,159,597,528,126,422
190,146,584,467,115,386
194,153,577,458,136,431
190,165,558,439,120,445
193,152,569,462,120,392
198,154,577,483,125,380
202,154,597,489,127,391
196,155,583,481,128,407
206,149,593,503,133,405
199,155,565,474,123,390
200,156,582,468,131,375
200,153,573,477,138,451
207,157,591,492,124,400
208,158,590,494,115,399
186,150,555,478,117,408
205,154,573,474,134,417
190,156,584,457,114,410
185,152,579,464,120,410
205,160,583,480,130,437
213,160,586,494,131,433
208,157,586,513,118,406
203,157,579,486,132,395
187,154,548,442,118,375
188,157,577,450,119,382
197,154,568,476,111,380
180,158,593,441,126,428
196,154,581,459,125,369
185,152,563,507,126,400
195,151,557,467,120,377
208,150,562,492,128,380
197,154,589,506,117,398
190,153,562,456,122,342
190,158,586,470,126,403
195,160,590,481,120,377
202,141,545,505,131,376
206,154,592,477,125,403
209,153,582,482,128,405
188,146,548,442,118,372
189,152,569,443,123,412
213,159,580,515,133,405
183,153,548,446,110,367
195,158,568,480,112,400
193,158,546,452,120,382
188,147,550,464,115,358
203,152,582,494,123,390
196,167,596,470,130,393
204,153,578,500,126,373
205,157,588,510,130,388
187,147,596,435,120,386
204,150,587,489,130,399
193,163,606,473,121,407
187,150,553,468,121,372
188,149,558,482,118,377
180,148,555,436,122,362
178,146,537,427,114,370
206,157,597,506,122,414
180,152,568,461,121,362
190,158,565,448,118,413
195,161,573,457,117,379
194,161,577,455,120,415
199,148,571,486,126,367
192,156,613,503,122,419
203,147,577,472,120,388
203,151,568,505,115,437
185,157,574,452,118,374
194,158,582,460,128,384
190,145,568,456,120,389
208,154,588,479,124,390
200,155,567,451,127,391
193,146,566,483,135,385
203,160,598,493,121,394
195,151,573,443,131,404
189,163,570,459,103,395
216,160,594,497,122,398
195,153,580,474,128,428
188,162,587,420,116,422
205,157,575,466,122,373
215,151,558,439,125,356
198,157,574,452,123,378
197,150,570,452,122,353
183,147,561,440,104,381
195,156,575,438,127,431
205,161,587,463,124,412
200,154,566,475,116,395
207,154,583,447,129,363
188,147,550,415,119,393
180,154,600,433,127,403
172,165,573,399,120,384
189,149,556,442,120,369
197,154,595,482,128,425
194,151,568,438,123,388
199,162,581,437,116,423
190,153,581,467,117,374
232,168,590,517,135,465
207,154,574,470,121,390
204,168,571,475,122,419
203,158,577,466,121,388
183,154,555,452,114,415
186,143,548,441,122,353
202,162,584,450,119,413
200,155,586,463,124,389
192,146,560,431,117,381
188,151,563,447,119,360
186,159,571,463,131,397
174,144,545,417,113,360
195,157,572,434,117,418
195,153,567,474,122,376
206,146,550,475,119,424
197,160,613,487,130,413
196,151,576,475,119,361
173,150,566,433,119,344
191,151,555,484,116,384
201,152,582,470,135,388
197,160,602,443,137,400
200,158,615,478,133,404
206,157,590,495,119,415
216,163,583,495,116,441
214,163,588,467,126,437
200,144,564,461,123,391
203,158,585,425,118,415
201,155,580,468,123,431
185,157,583,476,117,389
188,161,597,438,120,401
188,153,571,433,117,385
200,152,558,466,123,373
206,149,566,485,128,381
211,155,587,465,127,439
203,155,595,491,130,481
206,156,593,484,129,446
207,148,553,497,118,395
186,163,582,467,126,389
190,157,588,468,126,416
188,157,562,474,114,376
192,157,576,491,121,384
205,154,580,504,126,440
215,151,564,509,133,449
186,155,597,421,122,372
214,163,597,552,128,450
206,153,583,462,121,416
210,161,585,462,116,403
210,162,614,449,130,423
194,155,583,436,132,424
197,157,583,461,123,402
200,150,554,481,123,410
189,153,563,431,125,389
184,154,565,423,114,402
200,159,584,441,123,437
194,149,553,443,121,382
211,153,578,486,121,395
200,154,576,455,116,392
199,154,573,445,131,379
200,152,587,506,137,404
204,155,575,455,125,414
194,155,556,440,121,363
205,155,576,458,126,407
206,157,584,472,121,400
190,152,557,479,117,352
200,151,578,479,117,422
181,159,577,449,120,403
199,152,600,465,123,448
206,158,593,459,121,406
194,152,570,490,128,396
197,157,557,438,124,401
198,153,554,450,114,395
200,154,585,450,131,391
208,154,565,504,117,377
193,162,588,441,134,422
198,161,608,457,129,433
225,160,591,526,127,439
204,146,593,503,123,379
190,154,579,456,127,377
195,154,564,440,117,355
198,146,588,465,132,404
200,144,549,474,115,392
188,156,581,429,121,429
185,149,523,459,126,362
194,150,546,454,112,411
200,157,570,444,130,429
180,162,564,394,115,416
187,158,574,444,121,385
217,154,575,507,127,436
192,150,547,423,119,373
206,154,557,482,124,419
187,148,570,419,117,404
196,153,563,467,123,365
212,168,604,493,131,410
193,154,581,458,111,377
191,161,571,461,115,428
195,157,600,451,121,421
180,168,588,435,120,417
191,155,569,458,126,412
188,154,576,471,133,375
185,150,567,435,123,420
203,150,575,492,117,427
174,151,551,396,118,374
172,146,539,445,121,360
205,147,579,435,130,423
195,144,547,438,130,396
195,156,576,474,118,408
202,161,577,471,129,391
203,161,595,477,119,392
188,170,578,457,116,379
192,153,561,440,120,427
188,154,590,447,122,402
196,153,556,434,130,376
187,155,561,416,109,379
186,149,562,427,125,415
195,149,557,457,117,460
203,154,564,491,126,438
195,152,561,478,121,434
194,162,583,442,124,435
197,160,583,450,120,395
182,155,555,447,119,366
196,154,573,447,137,402
196,166,608,475,117,400
181,157,571,448,129,357
167,153,547,394,111,361
190,156,569,462,122,382
183,153,585,440,125,402
203,157,588,466,126,427
195,154,588,465,117,420
193,162,573,465,123,453
200,158,577,466,127,395
200,158,580,470,122,410
205,157,600,476,129,416
214,152,563,475,129,405
207,157,571,511,105,381
205,152,577,486,122,424
193,154,566,422,119,412
202,150,566,491,130,369
195,146,549,466,123,376
194,162,570,451,119,424
183,164,555,388,119,393
203,157,566,467,122,415
198,155,575,446,125,353
190,153,584,448,122,414
199,152,564,434,123,376
194,155,572,462,122,347
202,148,564,496,116,398
203,164,607,511,119,391
200,151,576,480,114,406
202,158,555,475,119,405
197,144,565,447,126,372
202,159,590,449,123,401
194,158,573,425,120,383
177,158,547,397,114,350
197,147,560,525,125,387
205,146,569,453,109,345
195,147,555,446,120,378
194,152,577,457,130,388
195,153,566,414,120,426
197,154,567,470,106,369
182,161,587,457,119,395
205,154,565,471,122,385
197,151,575,498,131,396
181,171,586,418,111,415
180,158,585,456,120,410
204,152,577,490,122,455
177,155,541,437,117,353
187,156,556,470,123,363
188,152,582,491,127,416
187,161,626,459,129,407
188,154,560,426,117,400
185,159,597,425,115,370
199,156,598,497,122,398
178,155,559,410,116,374
180,152,560,448,123,367
207,153,590,486,133,421
190,153,563,439,131,364
190,152,571,433,120,427
182,154,572,447,122,389
183,151,564,420,115,362
200,149,566,442,127,417
200,148,558,500,120,379
203,153,585,442,121,416
196,158,575,480,112,375
195,151,570,438,132,464
184,152,586,447,115,396
185,155,572,463,128,380
188,163,558,401,122,375
204,159,584,506,124,410
189,161,586,455,127,376
190,154,580,472,117,377
201,147,563,453,103,358
173,156,560,415,115,394
184,156,563,392,123,388
194,159,558,446,122,392
178,155,588,430,125,416
180,158,571,467,130,422
195,143,568,475,125,370
187,166,567,474,125,462
200,161,585,456,118,413
183,159,578,452,117,472
196,159,587,446,125,401
200,159,590,438,128,438
201,156,593,476,127,500
197,156,575,461,126,399
200,158,605,461,118,387
189,157,583,445,129,451
194,156,575,463,119,426
194,159,567,426,123,392
195,153,574,432,118,372
190,159,579,433,127,440
197,160,585,440,124,426
210,151,590,480,128,406
189,153,575,462,123,415
200,157,571,448,119,442
190,157,582,424,119,400
177,165,579,446,123,393
195,159,579,477,127,403
200,155,600,425,124,420
187,173,596,485,127,466
198,160,615,491,130,413
179,164,568,447,128,387
185,151,577,400,119,375
200,170,603,446,135,505
194,154,574,446,114,441
191,145,569,450,122,365
198,150,570,485,120,403
204,157,568,493,134,387
179,159,550,418,107,406
190,157,577,464,115,361
182,147,550,437,129,352
187,152,578,441,132,390
208,155,591,456,129,392
196,160,586,453,115,403
194,152,562,454,123,425
184,148,556,409,132,376
197,149,559,448,111,371
199,153,611,465,120,430
174,160,550,390,116,352
176,159,574,427,120,412
202,156,584,457,120,411
190,153,581,479,131,394
205,158,580,463,124,431
200,155,620,477,133,414
183,157,578,452,121,389
198,149,595,456,126,394
191,156,593,456,107,411
195,159,585,442,120,401
177,153,563,421,114,371
185,151,558,444,113,387
194,152,566,435,120,391
204,147,573,510,125,353
205,157,600,477,123,386
186,161,566,430,127,380
192,154,574,442,128,387
179,159,597,470,120,411
181,150,564,445,126,362
196,160,598,462,136,402
205,160,597,471,133,416
194,161,577,486,122,432
194,154,572,499,120,396
173,149,566,425,126,352
204,158,591,489,126,371
194,156,586,492,124,377
201,153,562,436,132,409
196,155,586,475,119,393
197,157,605,461,127,423
195,158,596,450,119,397
204,146,552,500,118,359
190,152,578,483,125,385
195,147,565,468,123,366
189,156,586,470,128,380
218,154,595,509,130,400
177,162,582,423,117,367
214,152,581,485,120,387
194,154,572,455,124,366
198,153,587,493,127,436
190,154,569,497,133,392
196,161,584,466,128,384
204,154,579,493,129,385
198,158,592,448,126,365
195,152,587,436,124,392
211,160,590,462,120,437
206,151,552,466,125,388
205,155,564,469,113,389
197,146,575,478,133,416
187,145,561,443,125,391
178,155,561,413,117,364
195,150,573,437,121,382
191,157,571,467,116,418
189,147,564,449,123,389
186,156,567,457,119,409
183,163,588,468,123,412
193,160,604,445,118,440
186,156,586,469,119,395
204,156,588,471,133,438
196,158,594,453,129,423
223,151,587,520,133,420
201,176,612,466,122,420
193,159,593,466,120,415
201,152,567,459,111,373
170,149,555,408,114,373
180,142,552,418,116,391
185,156,559,453,114,381
193,154,568,474,118,397
188,144,556,466,122,385
190,147,554,456,127,418
204,154,571,466,122,401
201,163,580,474,127,418
200,164,591,498,130,469
206,164,586,513,127,395
184,146,544,436,122,357
202,158,573,489,139,406
190,152,555,471,121,353
188,159,597,451,124,392
198,156,574,498,117,401
183,153,570,447,126,382
196,162,580,454,123,381
198,164,574,466,127,407
192,167,573,472,121,396
200,147,556,496,120,384
197,155,560,489,128,378
188,147,567,474,121,385
176,154,598,418,121,382
193,155,557,468,122,416
191,158,573,455,126,425
208,157,567,465,127,405
194,152,561,470,125,371
200,169,588,472,138,374
190,152,577,492,122,371
186,149,564,472,129,379
205,158,597,485,134,427
200,161,604,491,122,425
197,157,580,455,124,372
198,167,605,493,127,440
208,154,575,451,127,395
175,150,552,431,121,369
190,155,562,457,123,367
195,151,566,452,117,381
190,155,571,482,122,399
197,148,527,478,126,363
195,159,592,486,123,415
196,152,553,468,110,372
210,169,612,505,128,414
197,156,591,509,130,369
202,151,581,506,123,377
183,153,546,427,112,387
179,155,578,441,116,355
188,154,549,441,114,401
198,147,576,482,114,364
183,155,573,460,119,377
186,162,575,464,118,374
195,157,585,474,123,394
184,157,578,428,121,403
196,155,594,480,117,389
192,154,591,464,126,439
194,161,596,482,123,391
197,151,556,497,111,359
176,154,546,425,119,392
202,150,585,523,132,382
196,148,565,466,131,392
183,152,581,443,117,409
194,164,584,497,126,404
208,160,597,502,129,398
164,154,560,422,119,420
198,167,587,473,120,412
205,154,587,485,132,405
215,159,592,557,115,439
193,156,564,480,121,438
177,153,572,440,121,355
177,150,563,408,126,405
218,161,596,522,122,479
175,158,571,438,118,367
200,155,575,470,119,431
191,162,603,456,118,437
192,156,572,484,123,386
183,152,568,442,117,343
194,155,560,461,127,419
178,159,592,435,123,368
180,148,558,462,128,387
190,147,564,459,124,380
178,155,583,461,119,388
172,152,584,412,118,394
187,158,583,463,117,402
194,156,592,464,124,366
179,147,553,423,118,372
195,148,567,440,116,400
187,158,573,470,123,351
202,147,560,488,114,375
188,161,577,471,122,381
197,163,603,467,135,458
179,147,555,417,126,381
190,160,582,461,117,404
198,150,567,472,123,401
188,148,545,476,122,374
191,147,558,444,122,405
191,150,560,457,125,379
206,158,585,480,127,393
201,154,575,503,118,399
205,151,570,474,122,401
187,157,577,429,125,380
181,148,572,450,122,361
196,150,570,451,128,406
200,153,576,477,115,373
186,150,548,442,126,375
206,148,553,474,122,389
186,150,586,446,116,375
183,162,603,450,124,414
192,151,588,467,126,385
190,157,588,448,121,438
188,152,553,464,114,391
202,154,578,498,116,400
195,149,577,495,117,390
202,160,596,525,137,429
212,157,587,513,122,402
190,157,555,476,117,359
184,158,605,451,114,409
190,155,560,451,115,390
195,156,557,456,108,365
180,158,550,446,116,375
199,154,589,462,137,369
209,149,555,531,116,357
212,156,586,499,115,391
198,158,583,469,117,370
197,154,582,471,111,395
197,161,567,457,117,372
195,148,566,446,117,347
201,148,581,493,126,397
192,157,598,485,126,360
190,154,582,475,123,399
186,160,602,462,112,436
197,156,573,476,116,382
196,159,584,473,117,374
194,165,599,483,120,425
202,150,562,474,124,408
185,157,562,442,125,352
189,158,567,438,120,425
196,158,594,443,111,422
201,160,577,484,115,395
194,166,570,486,127,445
193,155,588,441,137,384
187,157,574,458,106,389
171,157,560,406,116,402
